app_id,num_reviews,avg_rating,pct_low_rating,first_review_date,most_recent_review_date
ai.turbolearn,100,4.42,9.0,2026-02-02 10:12:09,2026-02-04 12:26:48
com.ma.waveapp,100,3.2,42.0,2025-09-06 00:27:43,2026-02-04 01:07:28
com.microsoft.office.onenote,100,3.55,30.0,2026-01-28 18:50:35,2026-02-04 10:56:33
com.yygg.note.app,100,3.55,31.0,2026-01-09 23:57:28,2026-02-03 23:33:42
io.labhouse.audioapp,100,4.3,12.0,2026-01-29 14:09:24,2026-02-04 11:18:46
com.studocu.app,100,4.44,8.0,2026-01-02 22:07:15,2026-02-04 08:09:05
evolly.app.ainote,81,3.28,37.04,2025-01-08 19:48:30,2026-02-02 19:07:13
com.recordpro.audiorecord,29,3.9,17.24,2025-09-09 09:45:35,2026-01-31 11:37:18
com.thesaifhusain.ainote,15,4.0,20.0,2024-03-06 11:58:44,2025-07-25 13:06:10
com.notes.keepsmart.calendar.notebook,12,3.25,41.67,2024-07-10 06:05:56,2026-01-18 17:21:33
mia.smartnotes.app,4,4.5,0.0,2025-08-25 20:22:10,2025-11-10 00:48:30
com.itflat.smartnotes,3,3.67,33.33,2021-02-19 02:19:25,2023-09-08 08:02:19
com.pradip.notebookai,3,5.0,0.0,2025-11-06 19:10:57,2026-01-12 19:31:58
com.smartnotes.notesapp,3,4.67,0.0,2025-12-11 15:31:40,2025-12-14 16:57:41
com.ozeito.notemind,1,5.0,0.0,2025-10-06 06:22:40,2025-10-06 06:22:40
