app_id,app_name,reviewId,userName,score,content,thumbsUpCount,at,sentiment,is_mismatch,mismatch_type
com.zoho.notebook,"Notebook - Notes, To-Do, AI",64a6ab2a-66e3-4d91-83be-e4ff366cea93,D K P,4,"Very good app with integration for data import from evernote, onenote and google notes. one area of improvement is that the app screen is hidden on the top and bottom by the mobile menu on Redmi Note Pro 15 and maybe other phones too. so the screen size needs to be worked on. one star reduced for this flaw as navigation becomes a challenge.",0,2026-02-05 03:43:30,positive,False,none
com.zoho.notebook,"Notebook - Notes, To-Do, AI",b9dc9de1-43c7-4bb5-8f8a-aa7f8a9e09b5,KING “T.O.N.Y” OFTHECITY,5,"This is perfect for me, I am a free hand writer & this app just made my day...",0,2026-02-04 22:18:07,positive,False,none
com.zoho.notebook,"Notebook - Notes, To-Do, AI",bc316058-a007-4082-8cd6-5eb74b5d2d0c,Andrew Fennymore-White,1,Tags seem to barely work if at all. Web links cannot have their name changed. Seems very amateurish. Lightyears from a pay for work application.,0,2026-02-04 20:26:03,neutral,False,none
com.zoho.notebook,"Notebook - Notes, To-Do, AI",13fdb2db-694e-45d7-bb0c-402b756c21b6,Akash Unadkat,1,"Not Satisfied, Its Complex looking, Not as Good and as simple as Google Keep Notes, and Microsoft OneNote",0,2026-02-04 17:44:12,positive,True,low_rating_positive_text
com.zoho.notebook,"Notebook - Notes, To-Do, AI",501f44dc-51bb-405f-9d83-a0ec06612490,Indrajit De,5,Nice app 👌👌👌,0,2026-02-04 15:46:49,positive,False,none
com.zoho.notebook,"Notebook - Notes, To-Do, AI",244765e4-6da1-49fa-b39f-b6c2fee218f7,Shaman Malyankar,5,Awesome Application,0,2026-02-04 10:20:27,positive,False,none
com.zoho.notebook,"Notebook - Notes, To-Do, AI",236b776b-0967-41a9-83a8-7db415dee269,Nameeth Nameeth,5,don't use Microsoft notes use this made in india notebook it is very nice,0,2026-02-03 13:36:35,positive,False,none
com.zoho.notebook,"Notebook - Notes, To-Do, AI",2197cd90-06c6-4530-8fd2-7a5a1d1b520e,A Google user,1,it's practically unusable on my phone these days,0,2026-02-03 11:14:14,neutral,False,none
com.zoho.notebook,"Notebook - Notes, To-Do, AI",147e4ddf-5bcb-4641-9d51-4de6d9664dbc,Phoenix Ashworth,5,my go to app,0,2026-02-03 00:36:36,neutral,False,none
com.zoho.notebook,"Notebook - Notes, To-Do, AI",5afa3b51-b57c-487b-9cbe-6baec948b2cd,john singhour,1,rubbish,0,2026-02-02 22:23:11,neutral,False,none
